result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      975, 20710760 req, miss ratio 0.5748, byte miss ratio 0.5748
result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2927, 20710760 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     9758, 20710760 req, miss ratio 0.3826, byte miss ratio 0.3826
result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    29276, 20710760 req, miss ratio 0.2801, byte miss ratio 0.2801
result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    97587, 20710760 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   195175, 20710760 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   390350, 20710760 req, miss ratio 0.0687, byte miss ratio 0.0687
result/tencentBlock.ns4523.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   780700, 20710760 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns4523.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      975, 20710760 req, miss ratio 0.5594, byte miss ratio 0.5594
result/tencentBlock.ns4523.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2927, 20710760 req, miss ratio 0.4728, byte miss ratio 0.4728
result/tencentBlock.ns4523.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     9758, 20710760 req, miss ratio 0.3742, byte miss ratio 0.3742
result/tencentBlock.ns4523.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    29276, 20710760 req, miss ratio 0.2787, byte miss ratio 0.2787
