result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1040, 5825009 req, miss ratio 0.4003, byte miss ratio 0.4003
result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3122, 5825009 req, miss ratio 0.3895, byte miss ratio 0.3895
result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    10408, 5825009 req, miss ratio 0.3824, byte miss ratio 0.3824
result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    31224, 5825009 req, miss ratio 0.3707, byte miss ratio 0.3707
result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   104081, 5825009 req, miss ratio 0.3297, byte miss ratio 0.3297
result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   208162, 5825009 req, miss ratio 0.2644, byte miss ratio 0.2644
result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   416325, 5825009 req, miss ratio 0.2038, byte miss ratio 0.2038
result/tencentBlock.ns4607.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   832650, 5825009 req, miss ratio 0.1809, byte miss ratio 0.1809
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1040, 5825009 req, miss ratio 0.4042, byte miss ratio 0.4042
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     3122, 5825009 req, miss ratio 0.3889, byte miss ratio 0.3889
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    10408, 5825009 req, miss ratio 0.3820, byte miss ratio 0.3820
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    31224, 5825009 req, miss ratio 0.3658, byte miss ratio 0.3658
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   104081, 5825009 req, miss ratio 0.3235, byte miss ratio 0.3235
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   208162, 5825009 req, miss ratio 0.2636, byte miss ratio 0.2636
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   416325, 5825009 req, miss ratio 0.2037, byte miss ratio 0.2037
result/tencentBlock.ns4607.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   832650, 5825009 req, miss ratio 0.1809, byte miss ratio 0.1809
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size     1040, 5825009 req, miss ratio 0.4617, byte miss ratio 0.4617
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size     3122, 5825009 req, miss ratio 0.4131, byte miss ratio 0.4131
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size    10408, 5825009 req, miss ratio 0.3894, byte miss ratio 0.3894
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size    31224, 5825009 req, miss ratio 0.3788, byte miss ratio 0.3788
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size   104081, 5825009 req, miss ratio 0.3446, byte miss ratio 0.3446
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size   208162, 5825009 req, miss ratio 0.2693, byte miss ratio 0.2693
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size   416325, 5825009 req, miss ratio 0.2131, byte miss ratio 0.2131
result/tencentBlock.ns4607.oracleGeneral.bin                             FIFO cache size   832650, 5825009 req, miss ratio 0.1877, byte miss ratio 0.1877
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size     1040, 5825009 req, miss ratio 0.4131, byte miss ratio 0.4131
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size     3122, 5825009 req, miss ratio 0.3855, byte miss ratio 0.3855
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size    10408, 5825009 req, miss ratio 0.3805, byte miss ratio 0.3805
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size    31224, 5825009 req, miss ratio 0.3761, byte miss ratio 0.3761
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size   104081, 5825009 req, miss ratio 0.3365, byte miss ratio 0.3365
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size   208162, 5825009 req, miss ratio 0.2532, byte miss ratio 0.2532
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size   416325, 5825009 req, miss ratio 0.1937, byte miss ratio 0.1937
result/tencentBlock.ns4607.oracleGeneral.bin                              LRU cache size   832650, 5825009 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1040, 5825009 req, miss ratio 0.4103, byte miss ratio 0.4103
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     3122, 5825009 req, miss ratio 0.3853, byte miss ratio 0.3853
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    10408, 5825009 req, miss ratio 0.3824, byte miss ratio 0.3824
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    31224, 5825009 req, miss ratio 0.3710, byte miss ratio 0.3710
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   104081, 5825009 req, miss ratio 0.3424, byte miss ratio 0.3424
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   208162, 5825009 req, miss ratio 0.2750, byte miss ratio 0.2750
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   416325, 5825009 req, miss ratio 0.2003, byte miss ratio 0.2003
result/tencentBlock.ns4607.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   832650, 5825009 req, miss ratio 0.1814, byte miss ratio 0.1814
result/tencentBlock.ns4607.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1040, 5825009 req, miss ratio 0.4129, byte miss ratio 0.4129
result/tencentBlock.ns4607.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     3122, 5825009 req, miss ratio 0.3861, byte miss ratio 0.3861
result/tencentBlock.ns4607.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    10408, 5825009 req, miss ratio 0.3824, byte miss ratio 0.3824
result/tencentBlock.ns4607.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    31224, 5825009 req, miss ratio 0.3714, byte miss ratio 0.3714
result/tencentBlock.ns4607.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   104081, 5825009 req, miss ratio 0.3425, byte miss ratio 0.3425
result/tencentBlock.ns4607.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   208162, 5825009 req, miss ratio 0.2680, byte miss ratio 0.2680
