result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      418, 4711053 req, miss ratio 0.4987, byte miss ratio 0.4987
result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1254, 4711053 req, miss ratio 0.4158, byte miss ratio 0.4158
result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4180, 4711053 req, miss ratio 0.3341, byte miss ratio 0.3341
result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    12540, 4711053 req, miss ratio 0.2749, byte miss ratio 0.2749
result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    41802, 4711053 req, miss ratio 0.2077, byte miss ratio 0.2077
result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    83605, 4711053 req, miss ratio 0.1743, byte miss ratio 0.1743
result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   167210, 4711053 req, miss ratio 0.1244, byte miss ratio 0.1244
result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   334421, 4711053 req, miss ratio 0.0942, byte miss ratio 0.0942
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      418, 4711053 req, miss ratio 0.4996, byte miss ratio 0.4996
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1254, 4711053 req, miss ratio 0.4131, byte miss ratio 0.4131
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     4180, 4711053 req, miss ratio 0.3327, byte miss ratio 0.3327
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    12540, 4711053 req, miss ratio 0.2703, byte miss ratio 0.2703
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    41802, 4711053 req, miss ratio 0.2070, byte miss ratio 0.2070
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    83605, 4711053 req, miss ratio 0.1731, byte miss ratio 0.1731
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   167210, 4711053 req, miss ratio 0.1243, byte miss ratio 0.1243
result/w88.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   334421, 4711053 req, miss ratio 0.0942, byte miss ratio 0.0942
result/w88.oracleGeneral.bin                              LRU cache size      418, 4711053 req, miss ratio 0.5197, byte miss ratio 0.5197
result/w88.oracleGeneral.bin                              LRU cache size     1254, 4711053 req, miss ratio 0.4380, byte miss ratio 0.4380
result/w88.oracleGeneral.bin                              LRU cache size     4180, 4711053 req, miss ratio 0.3527, byte miss ratio 0.3527
result/w88.oracleGeneral.bin                              LRU cache size    12540, 4711053 req, miss ratio 0.2808, byte miss ratio 0.2808
result/w88.oracleGeneral.bin                              LRU cache size    41802, 4711053 req, miss ratio 0.2467, byte miss ratio 0.2467
result/w88.oracleGeneral.bin                              LRU cache size    83605, 4711053 req, miss ratio 0.1891, byte miss ratio 0.1891
result/w88.oracleGeneral.bin                              LRU cache size   167210, 4711053 req, miss ratio 0.1223, byte miss ratio 0.1223
result/w88.oracleGeneral.bin                              LRU cache size   334421, 4711053 req, miss ratio 0.0905, byte miss ratio 0.0905
result/w88.oracleGeneral.bin                             FIFO cache size      418, 4711053 req, miss ratio 0.5572, byte miss ratio 0.5572
result/w88.oracleGeneral.bin                             FIFO cache size     1254, 4711053 req, miss ratio 0.4613, byte miss ratio 0.4613
result/w88.oracleGeneral.bin                             FIFO cache size     4180, 4711053 req, miss ratio 0.3742, byte miss ratio 0.3742
result/w88.oracleGeneral.bin                             FIFO cache size    12540, 4711053 req, miss ratio 0.2959, byte miss ratio 0.2959
