result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      584, 4316605 req, miss ratio 0.7793, byte miss ratio 0.7793
result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1752, 4316605 req, miss ratio 0.7534, byte miss ratio 0.7534
result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5842, 4316605 req, miss ratio 0.6708, byte miss ratio 0.6708
result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    17528, 4316605 req, miss ratio 0.4947, byte miss ratio 0.4947
result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    58427, 4316605 req, miss ratio 0.3790, byte miss ratio 0.3790
result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   116854, 4316605 req, miss ratio 0.3175, byte miss ratio 0.3175
result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   233708, 4316605 req, miss ratio 0.2032, byte miss ratio 0.2032
result/w91.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   467417, 4316605 req, miss ratio 0.1445, byte miss ratio 0.1445
result/w91.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      584, 4316605 req, miss ratio 0.7790, byte miss ratio 0.7790
result/w91.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1752, 4316605 req, miss ratio 0.7485, byte miss ratio 0.7485
result/w91.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5842, 4316605 req, miss ratio 0.6632, byte miss ratio 0.6632
result/w91.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    17528, 4316605 req, miss ratio 0.4898, byte miss ratio 0.4898
result/w91.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    58427, 4316605 req, miss ratio 0.3780, byte miss ratio 0.3780
result/w91.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   116854, 4316605 req, miss ratio 0.3083, byte miss ratio 0.3083
