result/msr_prn_1.oracleGeneral.bin                             FIFO cache size     2173, 11233411 req, miss ratio 0.7889, byte miss ratio 0.7889
result/msr_prn_1.oracleGeneral.bin                             FIFO cache size     6520, 11233411 req, miss ratio 0.7588, byte miss ratio 0.7588
result/msr_prn_1.oracleGeneral.bin                             FIFO cache size    21735, 11233411 req, miss ratio 0.7203, byte miss ratio 0.7203
result/msr_prn_1.oracleGeneral.bin                             FIFO cache size    65207, 11233411 req, miss ratio 0.6388, byte miss ratio 0.6388
result/msr_prn_1.oracleGeneral.bin                             FIFO cache size   217357, 11233411 req, miss ratio 0.4577, byte miss ratio 0.4577
result/msr_prn_1.oracleGeneral.bin                             FIFO cache size   434715, 11233411 req, miss ratio 0.3494, byte miss ratio 0.3494
result/msr_prn_1.oracleGeneral.bin                             FIFO cache size   869430, 11233411 req, miss ratio 0.2488, byte miss ratio 0.2488
result/msr_prn_1.oracleGeneral.bin                             FIFO cache size  1738860, 11233411 req, miss ratio 0.2301, byte miss ratio 0.2301
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     2173, 11233411 req, miss ratio 0.8111, byte miss ratio 0.8111
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     6520, 11233411 req, miss ratio 0.7566, byte miss ratio 0.7566
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    21735, 11233411 req, miss ratio 0.6692, byte miss ratio 0.6692
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    65207, 11233411 req, miss ratio 0.5259, byte miss ratio 0.5259
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   217357, 11233411 req, miss ratio 0.3883, byte miss ratio 0.3883
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   434715, 11233411 req, miss ratio 0.2497, byte miss ratio 0.2497
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.2091, byte miss ratio 0.2091
result/msr_prn_1.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size  1738860, 11233411 req, miss ratio 0.2020, byte miss ratio 0.2020
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     2173, 11233411 req, miss ratio 0.8170, byte miss ratio 0.8170
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     6520, 11233411 req, miss ratio 0.7587, byte miss ratio 0.7587
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    21735, 11233411 req, miss ratio 0.6739, byte miss ratio 0.6739
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    65207, 11233411 req, miss ratio 0.5279, byte miss ratio 0.5279
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   217357, 11233411 req, miss ratio 0.3873, byte miss ratio 0.3873
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   434715, 11233411 req, miss ratio 0.2395, byte miss ratio 0.2395
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.2091, byte miss ratio 0.2091
result/msr_prn_1.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size  1738860, 11233411 req, miss ratio 0.2020, byte miss ratio 0.2020
result/msr_prn_1.oracleGeneral.bin                              LRU cache size     2173, 11233411 req, miss ratio 0.7878, byte miss ratio 0.7878
result/msr_prn_1.oracleGeneral.bin                              LRU cache size     6520, 11233411 req, miss ratio 0.7545, byte miss ratio 0.7545
result/msr_prn_1.oracleGeneral.bin                              LRU cache size    21735, 11233411 req, miss ratio 0.7118, byte miss ratio 0.7118
result/msr_prn_1.oracleGeneral.bin                              LRU cache size    65207, 11233411 req, miss ratio 0.6248, byte miss ratio 0.6248
result/msr_prn_1.oracleGeneral.bin                              LRU cache size   217357, 11233411 req, miss ratio 0.4341, byte miss ratio 0.4341
result/msr_prn_1.oracleGeneral.bin                              LRU cache size   434715, 11233411 req, miss ratio 0.3240, byte miss ratio 0.3240
result/msr_prn_1.oracleGeneral.bin                              LRU cache size   869430, 11233411 req, miss ratio 0.2450, byte miss ratio 0.2450
result/msr_prn_1.oracleGeneral.bin                              LRU cache size  1738860, 11233411 req, miss ratio 0.2021, byte miss ratio 0.2021
