result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      509, 8200000 req, miss ratio 0.5359, byte miss ratio 0.5359
result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1529, 8200000 req, miss ratio 0.4054, byte miss ratio 0.4054
result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     5097, 8200000 req, miss ratio 0.3679, byte miss ratio 0.3679
result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    15291, 8200000 req, miss ratio 0.2864, byte miss ratio 0.2864
result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size    50973, 8200000 req, miss ratio 0.1765, byte miss ratio 0.1765
result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   101946, 8200000 req, miss ratio 0.0899, byte miss ratio 0.0899
result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   203893, 8200000 req, miss ratio 0.0699, byte miss ratio 0.0699
result/io_traces.ns396.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size   407786, 8200000 req, miss ratio 0.0622, byte miss ratio 0.0622
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size      509, 8200000 req, miss ratio 0.5287, byte miss ratio 0.5287
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     1529, 8200000 req, miss ratio 0.4056, byte miss ratio 0.4056
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size     5097, 8200000 req, miss ratio 0.3640, byte miss ratio 0.3640
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    15291, 8200000 req, miss ratio 0.2928, byte miss ratio 0.2928
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size    50973, 8200000 req, miss ratio 0.1715, byte miss ratio 0.1715
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   101946, 8200000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   203893, 8200000 req, miss ratio 0.0699, byte miss ratio 0.0699
result/io_traces.ns396.oracleGeneral.bin                  S5FIFO-0.1000-2 cache size   407786, 8200000 req, miss ratio 0.0622, byte miss ratio 0.0622
result/io_traces.ns396.oracleGeneral.bin                             FIFO cache size      509, 8200000 req, miss ratio 0.6160, byte miss ratio 0.6160
result/io_traces.ns396.oracleGeneral.bin                             FIFO cache size     1529, 8200000 req, miss ratio 0.5293, byte miss ratio 0.5293
result/io_traces.ns396.oracleGeneral.bin                             FIFO cache size     5097, 8200000 req, miss ratio 0.4336, byte miss ratio 0.4336
result/io_traces.ns396.oracleGeneral.bin                             FIFO cache size    15291, 8200000 req, miss ratio 0.3219, byte miss ratio 0.3219
result/io_traces.ns396.oracleGeneral.bin                             FIFO cache size    50973, 8200000 req, miss ratio 0.1810, byte miss ratio 0.1810
